language,sent_index,baseline,ic_metric,length,real_dl,real_ic,delta_used,n_dl_matched,p_ic_given_dl
English,0,projective_like,content,10,18,2.0,0,183,0.5136612021857924
English,1,projective_like,content,10,23,6.0,0,303,0.8217821782178217
English,2,projective_like,content,10,19,7.0,0,493,0.2210953346855984
English,4,projective_like,content,10,21,3.0,0,237,0.5991561181434599
English,5,projective_like,content,10,15,4.0,0,316,0.5949367088607594
English,6,projective_like,content,10,20,8.0,0,461,1.0
English,7,projective_like,content,10,21,7.0,0,501,0.9261477045908184
English,8,projective_like,content,10,19,7.0,0,334,1.0
English,10,projective_like,content,10,28,15.0,0,320,0.934375
English,11,projective_like,content,10,20,6.0,0,513,0.9649122807017544
English,12,projective_like,content,10,19,3.0,0,361,0.889196675900277
English,13,projective_like,content,10,22,5.0,0,901,0.7169811320754716
English,14,projective_like,content,10,24,9.0,0,351,1.0
English,15,projective_like,content,10,25,6.0,0,193,1.0
English,16,projective_like,content,10,18,3.0,0,268,0.6305970149253731
English,18,projective_like,content,10,19,6.0,0,349,0.9140401146131805
English,19,projective_like,content,10,22,6.0,0,350,0.7485714285714286
English,20,projective_like,content,10,20,5.0,0,475,0.6505263157894737
English,21,projective_like,content,10,19,5.0,0,313,0.48562300319488816
English,22,projective_like,content,10,18,7.0,0,382,1.0
English,23,projective_like,content,10,20,4.0,0,492,0.8902439024390244
English,24,projective_like,content,10,20,6.0,0,567,1.0
English,25,projective_like,content,10,19,7.0,0,661,1.0
English,26,projective_like,content,10,19,3.0,0,466,0.7746781115879828
English,27,projective_like,content,10,21,9.0,0,388,1.0
English,28,projective_like,content,10,22,9.0,0,415,0.963855421686747
English,29,projective_like,content,10,11,0.0,1,112,0.5267857142857143
English,30,projective_like,content,10,21,8.0,0,132,1.0
English,31,projective_like,content,10,21,4.0,0,433,0.3856812933025404
English,32,projective_like,content,10,16,5.0,0,359,1.0
English,33,projective_like,content,10,16,3.0,0,214,1.0
English,34,projective_like,content,10,22,7.0,0,306,0.7352941176470589
English,35,projective_like,content,10,22,4.0,0,410,0.7195121951219512
English,36,projective_like,content,10,26,11.0,0,199,0.7286432160804021
English,38,projective_like,content,10,20,3.0,0,372,0.4946236559139785
English,39,projective_like,content,10,20,4.0,0,407,0.6461916461916462
English,40,projective_like,content,10,19,5.0,0,356,0.6292134831460674
English,41,projective_like,content,10,19,7.0,0,198,1.0
English,42,projective_like,content,10,20,7.0,0,315,0.9079365079365079
English,43,projective_like,content,10,32,18.0,1,176,0.8522727272727273
English,44,projective_like,content,10,24,10.0,0,400,1.0
English,47,projective_like,content,10,22,7.0,0,319,0.7931034482758621
English,48,projective_like,content,10,19,4.0,0,342,0.2134502923976608
English,49,projective_like,content,10,18,5.0,0,247,0.5506072874493927
English,50,projective_like,content,10,24,9.0,0,385,0.6909090909090909
English,51,projective_like,content,10,20,4.0,0,569,1.0
English,52,projective_like,content,10,18,5.0,0,252,1.0
English,53,projective_like,content,10,22,6.0,0,350,0.8114285714285714
English,54,projective_like,content,10,20,6.0,0,269,0.6765799256505576
English,55,projective_like,content,10,14,1.0,0,227,0.6387665198237885
English,57,projective_like,content,10,17,2.0,0,347,0.37752161383285304
English,58,projective_like,content,10,24,4.0,0,320,1.0
English,59,projective_like,content,10,22,8.0,0,447,1.0
English,60,projective_like,content,10,23,7.0,0,246,0.45934959349593496
English,61,projective_like,content,10,22,6.0,0,89,1.0
English,62,projective_like,content,10,18,5.0,0,759,0.6007905138339921
English,63,projective_like,content,10,22,11.0,0,410,1.0
English,64,projective_like,content,10,20,1.0,0,311,0.21221864951768488
English,65,projective_like,content,10,30,15.0,0,87,0.5517241379310345
English,66,projective_like,content,10,18,4.0,0,370,0.8324324324324325
English,67,projective_like,content,10,27,13.0,0,134,0.9029850746268657
English,68,projective_like,content,10,25,8.0,0,265,0.6113207547169811
English,69,projective_like,content,10,20,7.0,0,317,0.9684542586750788
English,70,projective_like,content,10,17,2.0,0,173,0.4277456647398844
English,71,projective_like,content,10,21,8.0,0,392,0.9489795918367347
English,72,projective_like,content,10,17,5.0,0,315,0.7682539682539683
English,73,projective_like,content,10,26,14.0,0,185,0.9243243243243243
English,74,projective_like,content,10,22,5.0,0,231,0.7792207792207793
English,75,projective_like,content,10,19,8.0,0,346,0.9248554913294798
English,76,projective_like,content,10,23,6.0,0,338,0.2692307692307692
English,77,projective_like,content,10,25,10.0,0,160,0.85625
English,78,projective_like,content,10,18,3.0,0,312,0.5160256410256411
English,79,projective_like,content,10,21,8.0,0,352,0.6107954545454546
Hindi,0,projective_like,content,10,15,3.0,0,345,0.42028985507246375
Hindi,1,projective_like,content,10,15,3.0,0,146,0.6164383561643836
Hindi,2,projective_like,content,10,20,7.0,0,453,0.9315673289183223
Hindi,3,projective_like,content,10,20,7.0,0,507,0.7495069033530573
Hindi,4,projective_like,content,10,14,2.0,0,109,0.7706422018348624
Hindi,8,projective_like,content,10,15,5.0,0,331,1.0
Hindi,10,projective_like,content,10,16,5.0,0,158,1.0
Hindi,12,projective_like,content,10,15,6.0,0,394,1.0
Hindi,13,projective_like,content,10,17,7.0,0,380,1.0
Hindi,14,projective_like,content,10,14,4.0,0,119,1.0
Hindi,15,projective_like,content,10,23,8.0,0,281,0.9537366548042705
Hindi,16,projective_like,content,10,11,1.0,1,113,0.5221238938053098
Hindi,17,projective_like,content,10,16,3.0,0,324,0.6049382716049383
Hindi,19,projective_like,content,10,17,7.0,0,550,1.0
Hindi,20,projective_like,content,10,23,9.0,0,445,1.0
Hindi,21,projective_like,content,10,14,4.0,0,143,1.0
Hindi,22,projective_like,content,10,20,8.0,0,526,0.973384030418251
Hindi,23,projective_like,content,10,16,4.0,0,438,0.7146118721461188
Hindi,24,projective_like,content,10,18,5.0,0,383,0.4908616187989556
Hindi,25,projective_like,content,10,15,4.0,0,280,0.7642857142857142
Hindi,26,projective_like,content,10,19,6.0,0,547,0.8921389396709324
Hindi,27,projective_like,content,10,20,5.0,0,373,0.9758713136729222
Hindi,29,projective_like,content,10,19,6.0,0,446,0.9260089686098655
Hindi,30,projective_like,content,10,16,2.0,0,438,0.363013698630137
Hindi,31,projective_like,content,10,19,6.0,0,583,0.5385934819897084
Hindi,32,projective_like,content,10,15,5.0,0,345,1.0
Hindi,35,projective_like,content,10,26,12.0,0,349,0.1977077363896848
Hindi,36,projective_like,content,10,12,3.0,1,162,0.7716049382716049
Hindi,37,projective_like,content,10,21,8.0,0,382,0.8821989528795812
Hindi,39,projective_like,content,10,18,8.0,0,499,0.8096192384769539
Hindi,40,projective_like,content,10,14,5.0,0,199,1.0
