language,sent_index,baseline,ic_metric,length,real_dl,real_ic,delta_used,n_dl_matched,p_ic_given_dl
English,0,projective_like,content,16,64,26.0,1,239,0.8786610878661087
English,1,projective_like,content,16,44,9.0,0,247,0.3643724696356275
English,2,projective_like,content,16,35,9.0,0,141,0.9787234042553191
English,3,projective_like,content,16,44,18.0,0,205,0.7951219512195122
English,4,projective_like,content,16,41,12.0,0,264,0.8257575757575758
English,5,projective_like,content,16,39,8.0,0,241,0.3070539419087137
English,6,projective_like,content,16,40,15.0,0,130,0.7615384615384615
English,7,projective_like,content,16,56,24.0,1,241,0.5228215767634855
English,8,projective_like,content,16,54,25.0,0,150,0.5266666666666666
English,9,projective_like,content,16,48,10.0,0,163,0.5521472392638037
English,11,projective_like,content,16,42,12.0,0,293,0.42662116040955633
English,14,projective_like,content,16,37,10.0,0,169,0.7988165680473372
English,16,projective_like,content,16,52,20.0,0,88,0.8977272727272727
English,17,projective_like,content,16,34,11.0,0,150,0.64
English,18,projective_like,content,16,44,4.0,0,179,0.2011173184357542
English,19,projective_like,content,16,35,8.0,0,196,0.7346938775510204
English,20,projective_like,content,16,36,9.0,0,213,0.7323943661971831
English,21,projective_like,content,16,40,12.0,0,244,0.7377049180327869
English,22,projective_like,content,16,37,14.0,0,174,0.9942528735632183
English,23,projective_like,content,16,51,20.0,0,107,0.4485981308411215
English,25,projective_like,content,16,42,16.0,0,315,0.9904761904761905
English,26,projective_like,content,16,46,20.0,0,200,1.0
English,27,projective_like,content,16,38,12.0,0,141,0.46808510638297873
English,28,projective_like,content,16,32,10.0,0,195,0.5692307692307692
English,29,projective_like,content,16,47,16.0,0,119,0.6050420168067226
English,30,projective_like,content,16,32,13.0,0,83,0.8554216867469879
English,32,projective_like,content,16,56,16.0,0,84,0.023809523809523808
English,34,projective_like,content,16,50,9.0,0,224,0.17410714285714285
English,35,projective_like,content,16,35,11.0,1,216,0.7685185185185185
English,36,projective_like,content,16,43,18.0,0,272,0.7941176470588235
English,37,projective_like,content,16,46,17.0,0,173,0.7572254335260116
English,38,projective_like,content,16,38,12.0,0,229,0.8078602620087336
English,39,projective_like,content,16,40,10.0,0,92,0.4891304347826087
English,40,projective_like,content,16,35,5.0,1,167,0.11976047904191617
English,41,projective_like,content,16,40,14.0,0,234,0.9487179487179487
English,42,projective_like,content,16,48,18.0,0,194,0.8814432989690721
English,43,projective_like,content,16,35,9.0,0,223,0.2556053811659193
English,44,projective_like,content,16,33,10.0,1,186,0.3172043010752688
English,46,projective_like,content,16,33,8.0,1,124,0.5967741935483871
English,47,projective_like,content,16,32,11.0,0,117,0.9914529914529915
English,48,projective_like,content,16,39,13.0,0,156,0.9038461538461539
English,49,projective_like,content,16,46,18.0,0,233,0.8412017167381974
English,50,projective_like,content,16,37,14.0,0,207,0.9855072463768116
English,51,projective_like,content,16,46,20.0,0,162,0.13580246913580246
English,52,projective_like,content,16,61,26.0,1,88,1.0
English,53,projective_like,content,16,31,6.0,1,159,0.7421383647798742
English,54,projective_like,content,16,36,10.0,0,128,0.734375
English,55,projective_like,content,16,42,14.0,0,261,0.9003831417624522
English,56,projective_like,content,16,40,17.0,0,156,0.46794871794871795
English,58,projective_like,content,16,35,5.0,1,182,0.967032967032967
English,59,projective_like,content,16,36,9.0,0,205,0.9463414634146341
English,61,projective_like,content,16,43,11.0,0,223,0.04932735426008968
English,62,projective_like,content,16,40,17.0,0,145,0.9655172413793104
English,65,projective_like,content,16,39,18.0,0,91,0.8571428571428571
English,66,projective_like,content,16,36,8.0,0,143,0.5244755244755245
English,67,projective_like,content,16,35,11.0,0,150,0.74
English,68,projective_like,content,16,32,9.0,0,120,0.725
English,69,projective_like,content,16,44,17.0,0,179,1.0
English,71,projective_like,content,16,33,5.0,0,139,0.7553956834532374
English,72,projective_like,content,16,40,16.0,0,206,0.970873786407767
English,73,projective_like,content,16,49,15.0,0,204,0.6323529411764706
English,74,projective_like,content,16,36,8.0,0,116,0.46551724137931033
English,75,projective_like,content,16,32,4.0,1,135,0.2740740740740741
English,76,projective_like,content,16,44,15.0,0,202,0.31683168316831684
English,77,projective_like,content,16,39,14.0,0,224,0.8258928571428571
English,78,projective_like,content,16,48,23.0,0,176,0.8352272727272727
Hindi,2,projective_like,content,16,33,15.0,1,162,0.7962962962962963
Hindi,3,projective_like,content,16,38,11.0,0,239,0.17154811715481172
Hindi,4,projective_like,content,16,31,14.0,0,117,1.0
Hindi,7,projective_like,content,16,26,6.0,1,108,0.8148148148148148
Hindi,11,projective_like,content,16,27,8.0,1,164,0.49390243902439024
Hindi,12,projective_like,content,16,52,18.0,0,125,0.344
Hindi,13,projective_like,content,16,34,14.0,0,161,0.8944099378881988
Hindi,14,projective_like,content,16,40,17.0,0,267,0.8876404494382022
Hindi,16,projective_like,content,16,45,18.0,0,187,0.12834224598930483
Hindi,20,projective_like,content,16,33,9.0,0,92,0.2391304347826087
Hindi,21,projective_like,content,16,39,12.0,0,130,0.6076923076923076
Hindi,22,projective_like,content,16,35,14.0,0,179,0.9497206703910615
Hindi,23,projective_like,content,16,26,8.0,2,95,0.8631578947368421
Hindi,24,projective_like,content,16,41,11.0,0,262,0.5038167938931297
Hindi,27,projective_like,content,16,32,12.0,1,175,0.7314285714285714
Hindi,28,projective_like,content,16,32,12.0,0,184,0.8478260869565217
