language,sent_index,baseline,ic_metric,length,real_dl,real_ic,delta_used,n_dl_matched,p_ic_given_dl
English,0,projective_like,content,8,14,3.0,0,890,0.8101123595505618
English,1,projective_like,content,8,14,5.0,0,781,0.7119078104993598
English,2,projective_like,content,8,18,11.0,0,266,1.0
English,3,projective_like,content,8,15,5.0,0,478,1.0
English,4,projective_like,content,8,14,4.0,0,457,1.0
English,5,projective_like,content,8,20,7.0,0,90,0.6333333333333333
English,6,projective_like,content,8,13,1.0,0,515,1.0
English,7,projective_like,content,8,17,9.0,0,425,1.0
English,8,projective_like,content,8,15,5.0,0,253,1.0
English,9,projective_like,content,8,14,5.0,0,1052,1.0
English,10,projective_like,content,8,14,5.0,0,1750,1.0
English,11,projective_like,content,8,18,9.0,0,491,1.0
English,13,projective_like,content,8,15,5.0,0,392,1.0
English,14,projective_like,content,8,28,0.0,0,91,1.0
English,17,projective_like,content,8,15,5.0,0,387,1.0
English,18,projective_like,content,8,13,2.0,0,394,0.5279187817258884
English,19,projective_like,content,8,17,7.0,0,305,1.0
English,20,projective_like,content,8,15,3.0,0,437,1.0
English,21,projective_like,content,8,14,2.0,0,756,0.7301587301587301
English,24,projective_like,content,8,16,3.0,0,426,0.960093896713615
English,25,projective_like,content,8,16,7.0,0,960,1.0
English,26,projective_like,content,8,16,3.0,0,672,0.14285714285714285
English,27,projective_like,content,8,15,3.0,0,415,0.7566265060240964
English,28,projective_like,content,8,17,7.0,0,307,1.0
English,29,projective_like,content,8,12,2.0,0,415,1.0
English,30,projective_like,content,8,16,2.0,0,1027,0.6231742940603701
English,31,projective_like,content,8,14,5.0,0,434,1.0
English,32,projective_like,content,8,13,2.0,0,628,1.0
English,33,projective_like,content,8,16,7.0,0,276,1.0
English,34,projective_like,content,8,15,4.0,0,410,1.0
English,35,projective_like,content,8,22,8.0,0,161,1.0
English,36,projective_like,content,8,14,1.0,0,516,1.0
English,37,projective_like,content,8,18,8.0,0,329,0.9908814589665653
English,38,projective_like,content,8,12,2.0,0,725,1.0
English,39,projective_like,content,8,14,2.0,0,1689,0.9253996447602132
English,40,projective_like,content,8,22,5.0,0,244,0.6967213114754098
English,41,projective_like,content,8,11,3.0,0,689,0.865021770682148
English,42,projective_like,content,8,16,3.0,0,965,0.41243523316062175
English,43,projective_like,content,8,15,6.0,0,713,1.0
English,44,projective_like,content,8,14,4.0,0,776,0.9587628865979382
English,45,projective_like,content,8,13,2.0,0,666,0.5330330330330331
English,46,projective_like,content,8,13,2.0,0,489,1.0
English,48,projective_like,content,8,13,6.0,0,793,1.0
English,49,projective_like,content,8,16,4.0,0,359,0.31197771587743733
English,50,projective_like,content,8,10,1.0,0,387,0.5297157622739018
English,52,projective_like,content,8,15,4.0,0,473,0.758985200845666
English,53,projective_like,content,8,14,4.0,0,757,0.7093791281373845
English,54,projective_like,content,8,14,4.0,0,751,0.8069241011984021
English,56,projective_like,content,8,14,2.0,0,512,0.498046875
English,57,projective_like,content,8,16,5.0,0,880,0.3340909090909091
English,58,projective_like,content,8,12,3.0,0,749,0.5367156208277704
English,59,projective_like,content,8,13,3.0,0,816,0.8737745098039216
