language,sent_index,baseline,ic_metric,length,real_dl,real_ic,delta_used,n_dl_matched,p_ic_given_dl
English,0,projective_like,content,12,31,8.0,0,278,1.0
English,1,projective_like,content,12,25,6.0,0,187,0.6684491978609626
English,3,projective_like,content,12,29,7.0,0,304,0.6546052631578947
English,4,projective_like,content,12,31,7.0,0,250,0.32
English,5,projective_like,content,12,25,5.0,0,305,0.380327868852459
English,6,projective_like,content,12,28,13.0,0,300,0.65
English,9,projective_like,content,12,28,10.0,0,483,0.9772256728778468
English,10,projective_like,content,12,30,17.0,0,280,0.9678571428571429
English,11,projective_like,content,12,32,13.0,0,191,0.8848167539267016
English,12,projective_like,content,12,31,11.0,0,200,0.77
English,13,projective_like,content,12,26,5.0,0,221,0.5927601809954751
English,14,projective_like,content,12,26,10.0,0,390,0.8846153846153846
English,15,projective_like,content,12,23,8.0,0,129,1.0
English,16,projective_like,content,12,25,4.0,0,336,0.13392857142857142
English,18,projective_like,content,12,28,8.0,0,245,0.5510204081632653
English,19,projective_like,content,12,19,5.0,0,93,0.6989247311827957
English,20,projective_like,content,12,32,15.0,0,203,0.9556650246305419
English,21,projective_like,content,12,25,8.0,0,401,0.3117206982543641
English,22,projective_like,content,12,29,12.0,0,353,0.8470254957507082
English,23,projective_like,content,12,44,25.0,0,96,0.5208333333333334
English,24,projective_like,content,12,29,14.0,0,340,1.0
English,25,projective_like,content,12,24,5.0,0,241,0.46473029045643155
English,26,projective_like,content,12,29,7.0,0,274,0.33941605839416056
English,27,projective_like,content,12,35,19.0,0,209,0.937799043062201
English,28,projective_like,content,12,26,7.0,0,426,0.6643192488262911
English,29,projective_like,content,12,28,9.0,0,401,0.9975062344139651
English,30,projective_like,content,12,23,10.0,0,356,0.8679775280898876
English,31,projective_like,content,12,27,10.0,0,266,1.0
English,32,projective_like,content,12,24,5.0,0,222,1.0
English,33,projective_like,content,12,25,6.0,0,197,0.6091370558375635
English,34,projective_like,content,12,43,20.0,1,148,0.8918918918918919
English,35,projective_like,content,12,33,7.0,0,196,0.44387755102040816
English,36,projective_like,content,12,21,8.0,0,281,1.0
English,37,projective_like,content,12,31,15.0,0,276,0.9746376811594203
English,38,projective_like,content,12,27,9.0,0,326,0.9631901840490797
English,39,projective_like,content,12,25,7.0,0,469,0.3326226012793177
English,40,projective_like,content,12,27,7.0,0,287,0.34494773519163763
English,41,projective_like,content,12,29,13.0,0,266,0.9323308270676691
English,42,projective_like,content,12,23,5.0,0,119,0.8487394957983193
English,44,projective_like,content,12,33,12.0,0,95,1.0
English,45,projective_like,content,12,27,11.0,0,137,0.9124087591240876
English,46,projective_like,content,12,30,5.0,0,247,0.659919028340081
English,47,projective_like,content,12,29,13.0,0,295,0.8813559322033898
English,48,projective_like,content,12,24,8.0,0,165,1.0
English,49,projective_like,content,12,29,11.0,0,353,0.5184135977337111
English,51,projective_like,content,12,31,15.0,0,285,0.9894736842105263
English,52,projective_like,content,12,21,4.0,0,173,0.4913294797687861
English,53,projective_like,content,12,32,7.0,0,329,0.9148936170212766
English,55,projective_like,content,12,30,13.0,0,290,0.9862068965517241
English,56,projective_like,content,12,28,7.0,0,325,0.5723076923076923
English,57,projective_like,content,12,29,6.0,0,221,0.10407239819004525
English,58,projective_like,content,12,27,8.0,0,88,0.9545454545454546
English,59,projective_like,content,12,32,6.0,0,250,0.316
English,60,projective_like,content,12,25,8.0,0,340,0.8735294117647059
English,61,projective_like,content,12,26,9.0,0,363,1.0
English,62,projective_like,content,12,26,9.0,0,533,0.924953095684803
English,63,projective_like,content,12,27,10.0,0,404,0.9529702970297029
English,64,projective_like,content,12,24,7.0,0,300,0.7466666666666667
English,65,projective_like,content,12,26,11.0,0,274,0.7773722627737226
English,66,projective_like,content,12,39,22.0,1,168,0.9583333333333334
English,68,projective_like,content,12,25,7.0,0,132,0.9015151515151515
English,69,projective_like,content,12,27,11.0,0,405,0.8962962962962963
English,71,projective_like,content,12,23,4.0,0,258,0.6201550387596899
English,72,projective_like,content,12,25,7.0,0,203,0.7044334975369458
English,73,projective_like,content,12,26,11.0,0,245,1.0
English,75,projective_like,content,12,25,5.0,0,261,0.44061302681992337
English,76,projective_like,content,12,28,10.0,0,266,0.7180451127819549
